"Marital status","Application mode","Application order","Course","Daytime/evening attendance","Previous qualification","Previous qualification grade","Nationality","Mother's qualification","Father's qualification","Admission grade","Displaced","Educational special needs","Debtor","Gender","Scholarship holder","Age at enrollment","International","Semester 1 enrolled units","Semester 1 approved units","Semester 1 grade","Semester 2 enrolled units","Semester 2 approved units","Semester 2 grade","Unemployment rate","Inflation rate","GDP","Target"
"single","General contingent","2nd choice","Advertising and Marketing Management","daytime","qualified",139,"Portuguese","Basic education","Basic education",130.6,"yes","no","no","Female","no",18,"no",6,6,12.3333333333333,6,5,14.2,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",136,"Portuguese","Basic education","Basic education",119.3,"yes","no","no","Female","yes",18,"no",8,7,13.2142857142857,8,7,13.2142857142857,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",133,"Portuguese","Basic education","Basic education",130.2,"yes","no","no","Female","no",19,"no",6,0,0,6,0,0,0.127,0.037,-0.017,"Dropout"
"single","Other","2nd choice","Tourism","daytime","overqualified",110,"Portuguese","Secondary education and above","Secondary education and above",111.8,"yes","no","no","Female","yes",21,"no",6,6,10.5714285714286,6,5,11,0.089,0.014,0.0351,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",149,"Portuguese","Basic education","Basic education",137.1,"yes","no","no","Female","yes",18,"no",5,4,13.25,5,5,12,0.108,0.014,0.0174,"Graduate"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",127,"Portuguese","Basic education","Basic education",120.7,"yes","no","no","Female","no",20,"no",6,5,13.2,6,0,0,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","2nd choice","Social Service","daytime","qualified",137,"Portuguese","Basic education","Basic education",137.4,"yes","no","no","Female","no",18,"no",6,1,12,6,2,11,0.108,0.014,0.0174,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",135,"Portuguese","Basic education","Secondary education and above",127.3,"yes","no","no","Female","no",18,"no",7,7,13.30625,8,8,14.545,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","2nd choice","Equinculture","daytime","qualified",137,"Portuguese","Secondary education and above","Basic education",136.3,"yes","no","no","Female","no",20,"no",5,4,12.5,5,4,12.25,0.108,0.014,0.0174,"Graduate"
"single","General contingent","2nd choice","Basic Education","daytime","qualified",140,"Portuguese","Basic education","Basic education",124.6,"yes","no","no","Female","no",18,"no",7,6,11.6666666666667,7,6,13.5,0.162,0.003,-0.0092,"Enrolled"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",122,"Portuguese","Secondary education and above","Secondary education and above",120.3,"no","no","no","Female","yes",21,"no",0,0,0,0,0,0,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Oral Hygiene","daytime","qualified",127,"Portuguese","Secondary education and above","Basic education",121.8,"yes","no","no","Female","no",20,"no",7,7,11.4375,8,8,11.425,0.127,0.037,-0.017,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",142,"Portuguese","Basic education","Basic education",125.5,"yes","no","no","Female","no",18,"no",8,7,12.8571428571429,8,7,12.8571428571429,0.127,0.037,-0.017,"Graduate"
"single","General contingent","not 2nd choice","Advertising and Marketing Management","daytime","qualified",125,"Portuguese","Secondary education and above","Basic education",114.9,"yes","no","no","Female","yes",19,"no",6,6,13.375,6,6,12.2857142857143,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",126,"Portuguese","Basic education","Basic education",123.9,"no","no","no","Female","no",19,"no",7,6,13.2966666666667,8,7,14.1142857142857,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",151,"Portuguese","Basic education","Basic education",157,"yes","no","yes","Female","yes",18,"no",6,5,11.6,6,4,11,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",115,"Portuguese","Basic education","Basic education",116.4,"yes","no","no","Female","no",21,"no",6,6,11.375,6,6,13.2857142857143,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",138,"Portuguese","Basic education","Basic education",131,"yes","no","no","Female","no",18,"no",5,5,12.6666666666667,5,4,13,0.094,-0.008,-0.0312,"Enrolled"
"single","General contingent","2nd choice","Management","daytime","qualified",135,"Portuguese","Basic education","Secondary education and above",122.1,"yes","no","no","Female","no",20,"no",5,5,12,5,5,12.3333333333333,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",127,"Portuguese","Secondary education and above","Secondary education and above",118.8,"yes","no","no","Male","no",19,"no",7,6,12.9333333333333,7,6,13.7166666666667,0.162,0.003,-0.0092,"Enrolled"
"single","Other","2nd choice","Agronomy","daytime","overqualified",150,"Portuguese","Secondary education and above","Secondary education and above",150,"no","no","no","Male","no",21,"no",6,5,11.8571428571429,6,5,10.5714285714286,0.162,0.003,-0.0092,"Enrolled"
"single","Other","2nd choice","Communication Design","daytime","qualified",125,"Portuguese","Secondary education and above","Secondary education and above",130,"yes","no","no","Male","no",20,"no",6,6,12.8333333333333,6,4,13.4,0.089,0.014,0.0351,"Graduate"
"single","General contingent","2nd choice","Management","daytime","qualified",143,"Portuguese","Secondary education and above","Secondary education and above",138.8,"no","no","no","Male","no",18,"no",5,3,11.3333333333333,5,2,13.5,0.089,0.014,0.0351,"Enrolled"
"single","General contingent","2nd choice","Social Service (evening attendance)","evening","qualified",138,"Portuguese","Basic education","Secondary education and above",134.5,"yes","no","no","Female","no",19,"no",6,6,12.6666666666667,6,6,14.375,0.124,0.005,0.0179,"Graduate"
"single","General contingent","2nd choice","Management (evening attendance)","evening","qualified",130,"Portuguese","Secondary education and above","Basic education",131.4,"no","no","no","Male","no",34,"no",5,5,12.4,5,5,13.4285714285714,0.139,-0.003,0.0079,"Graduate"
"single","Over 23 years old","2nd choice","Biofuel Production Technologies","daytime","qualified",130,"Portuguese","Basic education","Basic education",102.5,"no","no","yes","Male","no",37,"no",7,0,0,7,1,10,0.089,0.014,0.0351,"Dropout"
"single","Over 23 years old","2nd choice","Informatics Engineering","daytime","underqualified",133.1,"Portuguese","Other","Basic education",128.8,"yes","no","no","Male","no",43,"no",5,0,0,5,0,0,0.076,0.026,0.0032,"Dropout"
"single","Other","2nd choice","Management","daytime","qualified",140,"Portuguese","Basic education","Basic education",122.9,"no","no","no","Female","no",55,"no",5,1,10,5,2,12,0.162,0.003,-0.0092,"Dropout"
"not single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",113.9,"yes","no","no","Female","no",39,"no",5,5,11,5,5,11.6,0.076,0.026,0.0032,"Graduate"
"single","Other","2nd choice","Equinculture","daytime","overqualified",120,"not Portuguese","Secondary education and above","Secondary education and above",120,"no","no","yes","Female","no",20,"yes",6,3,11.6666666666667,6,3,12,0.124,0.005,0.0179,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",126,"Portuguese","Secondary education and above","Secondary education and above",121.1,"no","no","yes","Female","no",18,"no",6,4,12.75,5,0,0,0.127,0.037,-0.017,"Dropout"
"single","General contingent","not 2nd choice","Management","daytime","qualified",133,"Portuguese","Secondary education and above","Basic education",120.4,"yes","no","no","Female","no",22,"no",5,5,14.8,5,5,15.8,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",103,"Portuguese","Secondary education and above","Secondary education and above",100.6,"yes","yes","no","Female","no",22,"no",7,5,13.928,8,7,14.3428571428571,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",120,"Portuguese","Secondary education and above","Basic education",121.4,"no","no","no","Female","no",20,"no",6,4,13,6,5,13.8,0.124,0.005,0.0179,"Dropout"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",133.1,"Portuguese","Basic education","Basic education",109.7,"no","no","no","Female","no",29,"no",5,0,0,5,0,0,0.162,0.003,-0.0092,"Dropout"
"single","General contingent","2nd choice","Management (evening attendance)","evening","qualified",154,"Portuguese","Basic education","Basic education",134.1,"no","no","no","Female","no",24,"no",5,2,11.5,5,3,14.3333333333333,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",130,"Portuguese","Basic education","Basic education",127.6,"yes","no","no","Female","no",18,"no",6,6,11.6666666666667,6,5,13.2,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",132,"Portuguese","Basic education","Basic education",132.4,"yes","no","no","Female","yes",22,"no",7,6,13.5166666666667,8,7,13.7714285714286,0.111,0.006,0.0202,"Graduate"
"single","Other","2nd choice","Social Service (evening attendance)","evening","overqualified",130,"Portuguese","Secondary education and above","Basic education",133.4,"no","no","no","Female","yes",21,"no",6,6,11.5,6,6,13.2857142857143,0.124,0.005,0.0179,"Graduate"
"single","General contingent","2nd choice","Social Service","daytime","qualified",139,"Portuguese","Basic education","Basic education",126.1,"no","no","no","Female","yes",19,"no",6,5,12.3333333333333,6,6,12.8333333333333,0.127,0.037,-0.017,"Graduate"
"single","Over 23 years old","2nd choice","Tourism","daytime","qualified",130,"Portuguese","Basic education","Basic education",113.5,"no","no","no","Female","yes",24,"no",6,6,13.6666666666667,6,6,14.1666666666667,0.124,0.005,0.0179,"Graduate"
"single","General contingent","2nd choice","Nursing","daytime","qualified",139,"Portuguese","Basic education","Basic education",121.3,"yes","no","no","Female","yes",19,"no",8,6,11.8333333333333,8,6,11.8333333333333,0.094,-0.008,-0.0312,"Enrolled"
"single","General contingent","2nd choice","Journalism and Communication","daytime","qualified",127,"Portuguese","Secondary education and above","Basic education",121.8,"yes","no","no","Female","yes",20,"no",6,4,14,6,3,11,0.094,-0.008,-0.0312,"Enrolled"
"single","General contingent","not 2nd choice","Equinculture","daytime","qualified",167,"Portuguese","Basic education","Basic education",159.3,"no","no","no","Female","no",19,"no",5,5,14.7142857142857,5,5,15.8,0.076,0.026,0.0032,"Graduate"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",120,"no","no","no","Female","no",27,"no",5,5,10.6,5,5,11,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","2nd choice","Nursing","daytime","qualified",130,"Portuguese","Secondary education and above","Basic education",129.1,"yes","no","no","Female","no",18,"no",7,7,13.0444444444444,8,8,13.595,0.155,0.028,-0.0406,"Graduate"
"not single","Other","2nd choice","Tourism","daytime","overqualified",130,"Portuguese","Secondary education and above","Secondary education and above",130,"no","no","no","Female","no",39,"no",6,0,0,6,0,0,0.124,0.005,0.0179,"Dropout"
"single","Over 23 years old","2nd choice","Equinculture","daytime","overqualified",129,"Portuguese","Secondary education and above","Secondary education and above",155.3,"yes","no","no","Female","no",27,"no",6,5,13,11,10,12.9,0.124,0.005,0.0179,"Dropout"
"single","General contingent","2nd choice","Nursing","daytime","qualified",141,"Portuguese","Basic education","Basic education",139.8,"yes","no","no","Female","no",18,"no",8,8,14.935,8,8,14.935,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",125,"Portuguese","Basic education","Basic education",115.2,"yes","no","no","Female","no",18,"no",0,0,0,0,0,0,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",125,"Portuguese","Basic education","Basic education",114.9,"no","no","no","Female","no",18,"no",7,6,13.1333333333333,8,7,12.2214285714286,0.162,0.003,-0.0092,"Graduate"
"single","Other","2nd choice","Social Service","daytime","overqualified",130,"Portuguese","Basic education","Secondary education and above",131.9,"no","no","no","Female","yes",21,"no",6,6,12,6,6,12,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",133,"Portuguese","Secondary education and above","Basic education",126,"yes","no","no","Male","yes",19,"no",0,0,0,0,0,0,0.108,0.014,0.0174,"Enrolled"
"single","General contingent","2nd choice","Communication Design","daytime","qualified",127,"Portuguese","Secondary education and above","Secondary education and above",130.2,"yes","no","no","Male","no",19,"no",6,5,11.4,6,1,10,0.108,0.014,0.0174,"Enrolled"
"single","Other","2nd choice","Communication Design","daytime","qualified",116,"Portuguese","Secondary education and above","Secondary education and above",120.9,"no","no","no","Male","no",24,"no",6,0,0,6,0,0,0.127,0.037,-0.017,"Enrolled"
"not single","Other","2nd choice","Nursing","daytime","underqualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",126,"yes","no","no","Male","no",29,"no",7,5,11.9,8,5,11,0.139,-0.003,0.0079,"Dropout"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",139,"Portuguese","Basic education","Basic education",128.2,"yes","no","no","Male","yes",19,"no",0,0,0,0,0,0,0.108,0.014,0.0174,"Graduate"
"single","Other","2nd choice","Agronomy","daytime","overqualified",130,"Portuguese","Basic education","Basic education",130,"yes","no","no","Male","no",23,"no",6,6,12.5714285714286,6,6,12.4285714285714,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",125,"Portuguese","Secondary education and above","Basic education",120.1,"no","no","yes","Male","no",19,"no",5,5,11.2,5,4,10.75,0.162,0.003,-0.0092,"Dropout"
"single","Over 23 years old","2nd choice","Tourism","daytime","qualified",160,"Portuguese","Basic education","Basic education",100,"no","no","no","Male","no",26,"no",6,6,12,6,5,10.8,0.127,0.037,-0.017,"Enrolled"
"single","General contingent","2nd choice","Management","daytime","qualified",148,"Portuguese","Basic education","Basic education",134,"no","no","no","Male","no",18,"no",5,0,0,5,0,0,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","2nd choice","Nursing","daytime","qualified",150,"Portuguese","Basic education","Basic education",130.8,"no","no","no","Male","no",24,"no",7,7,11.975,8,8,13.75,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",141,"Portuguese","Basic education","Basic education",135.8,"yes","no","no","Male","no",19,"no",0,0,0,0,0,0,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",118,"Portuguese","Basic education","Basic education",111.7,"yes","no","no","Male","no",18,"no",6,3,11.6666666666667,6,1,12,0.124,0.005,0.0179,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",142,"Portuguese","Basic education","Basic education",132.9,"yes","no","no","Male","no",18,"no",6,6,12.3333333333333,6,3,12.3333333333333,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",120,"Portuguese","Basic education","Basic education",115.5,"yes","no","yes","Male","no",18,"no",5,3,10.3333333333333,5,3,10.8571428571429,0.108,0.014,0.0174,"Dropout"
"single","General contingent","not 2nd choice","Tourism","daytime","qualified",106,"Portuguese","Basic education","Basic education",106,"yes","no","no","Male","yes",21,"no",6,4,10.5,6,1,11,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",121,"Portuguese","Secondary education and above","Basic education",120.3,"yes","no","yes","Male","yes",19,"no",6,6,13.6666666666667,6,6,13.3333333333333,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",150,"Portuguese","Basic education","Basic education",130.8,"no","no","no","Male","yes",22,"no",7,7,14.8428571428571,8,8,15.0555555555556,0.162,0.003,-0.0092,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",120,"Portuguese","Basic education","Basic education",117,"no","no","no","Male","no",33,"no",6,6,12,6,6,11.6666666666667,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",114,"Portuguese","Basic education","Basic education",110.2,"yes","no","no","Male","no",20,"no",6,5,12.2,6,5,12.2,0.108,0.014,0.0174,"Dropout"
"single","Over 23 years old","2nd choice","Management (evening attendance)","evening","overqualified",140,"Portuguese","Secondary education and above","Secondary education and above",155.7,"yes","no","no","Male","no",35,"no",1,0,0,5,0,0,0.108,0.014,0.0174,"Dropout"
"single","Over 23 years old","2nd choice","Agronomy","daytime","overqualified",160,"Portuguese","Secondary education and above","Secondary education and above",180.4,"no","no","yes","Male","no",24,"no",12,6,12.1666666666667,12,10,13.3,0.124,0.005,0.0179,"Dropout"
"single","General contingent","2nd choice","Tourism","daytime","qualified",120,"Portuguese","Basic education","Basic education",125.5,"no","no","no","Male","no",18,"no",5,5,12,5,3,11.3333333333333,0.127,0.037,-0.017,"Enrolled"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",110,"yes","no","no","Female","no",33,"no",6,6,11,6,5,11,0.094,-0.008,-0.0312,"Graduate"
"single","Other","2nd choice","Nursing","daytime","qualified",160,"Portuguese","Basic education","Basic education",161,"yes","no","no","Female","yes",22,"no",8,7,13.08,8,7,13.08,0.108,0.014,0.0174,"Graduate"
"single","Over 23 years old","2nd choice","Advertising and Marketing Management","daytime","qualified",120,"Portuguese","Secondary education and above","Basic education",100,"no","no","no","Female","yes",25,"no",5,4,10.5,5,5,11.6,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Communication Design","daytime","qualified",124,"Portuguese","Basic education","Basic education",117.6,"yes","no","no","Male","no",20,"no",6,6,10.6666666666667,6,5,11.2,0.076,0.026,0.0032,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",143,"Portuguese","Basic education","Basic education",128.7,"yes","no","no","Male","no",23,"no",5,4,14,5,5,13.8,0.111,0.006,0.0202,"Enrolled"
"single","Other","not 2nd choice","Informatics Engineering","daytime","qualified",115,"Portuguese","Basic education","Basic education",112.2,"yes","no","yes","Male","no",18,"no",5,2,10,5,0,0,0.155,0.028,-0.0406,"Enrolled"
"single","Over 23 years old","2nd choice","Nursing","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",100.8,"no","no","no","Male","no",24,"no",7,0,0,7,0,0,0.139,-0.003,0.0079,"Dropout"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",133.1,"not Portuguese","Basic education","Secondary education and above",105,"yes","no","no","Female","no",21,"yes",6,6,14,6,6,13.5,0.089,0.014,0.0351,"Graduate"
"single","Other","2nd choice","Equinculture","daytime","qualified",133.1,"not Portuguese","Secondary education and above","Secondary education and above",100,"no","no","no","Female","no",26,"yes",6,2,12,6,0,0,0.089,0.014,0.0351,"Dropout"
"not single","Over 23 years old","2nd choice","Basic Education","daytime","underqualified",133.1,"Portuguese","Basic education","Other",115.5,"no","no","no","Female","no",39,"no",6,3,12.6666666666667,6,0,0,0.076,0.026,0.0032,"Dropout"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",133.1,"Portuguese","Basic education","Basic education",114,"no","no","no","Female","no",44,"no",8,8,11.875,6,6,12.3333333333333,0.127,0.037,-0.017,"Graduate"
"single","Other","2nd choice","Informatics Engineering","daytime","qualified",130,"not Portuguese","Basic education","Secondary education and above",137,"yes","no","no","Male","no",19,"yes",5,5,14,5,3,13.25,0.139,-0.003,0.0079,"Enrolled"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",135,"Portuguese","Basic education","Secondary education and above",124.9,"yes","no","no","Female","no",18,"no",6,6,13.6666666666667,6,6,13.3333333333333,0.089,0.014,0.0351,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",132,"Portuguese","Basic education","Basic education",120.3,"yes","no","no","Female","yes",18,"no",7,7,13.75,8,8,14.4777777777778,0.124,0.005,0.0179,"Graduate"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",135,"Portuguese","Secondary education and above","Secondary education and above",134.3,"yes","no","no","Female","no",19,"no",5,5,14.2,5,5,13.8,0.127,0.037,-0.017,"Enrolled"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",115,"Portuguese","Secondary education and above","Secondary education and above",111.5,"yes","no","yes","Female","no",19,"no",7,4,11.96,7,0,0,0.139,-0.003,0.0079,"Dropout"
"single","Other","2nd choice","Veterinary Nursing","daytime","overqualified",130,"Portuguese","Basic education","Basic education",128.8,"no","no","no","Female","no",21,"no",10,8,12.875,9,5,13.4,0.089,0.014,0.0351,"Dropout"
"single","General contingent","not 2nd choice","Animation and Multimedia Design","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",110,"yes","no","no","Female","no",20,"no",0,0,0,0,0,0,0.162,0.003,-0.0092,"Graduate"
"not single","Over 23 years old","2nd choice","Social Service (evening attendance)","evening","qualified",130,"Portuguese","Basic education","Basic education",113.5,"yes","no","no","Female","no",36,"no",6,0,0,6,0,0,0.094,-0.008,-0.0312,"Dropout"
"not single","Over 23 years old","2nd choice","Agronomy","daytime","underqualified",133.1,"Portuguese","Basic education","Basic education",160,"no","no","no","Female","no",43,"no",18,18,14.6315789473684,13,13,14.2307692307692,0.155,0.028,-0.0406,"Graduate"
"single","General contingent","2nd choice","Basic Education","daytime","qualified",123,"Portuguese","Basic education","Basic education",117.4,"yes","no","no","Female","no",19,"no",6,0,0,6,0,0,0.111,0.006,0.0202,"Dropout"
"single","Other","2nd choice","Communication Design","daytime","qualified",130,"Portuguese","Secondary education and above","Secondary education and above",122.2,"no","no","yes","Female","no",20,"no",10,10,13,11,11,12.2727272727273,0.111,0.006,0.0202,"Graduate"
"single","General contingent","not 2nd choice","Social Service","daytime","qualified",122,"Portuguese","Basic education","Basic education",118.2,"yes","no","no","Female","no",19,"no",6,0,0,6,0,0,0.162,0.003,-0.0092,"Dropout"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",113,"Portuguese","Secondary education and above","Secondary education and above",106.7,"yes","no","no","Female","no",20,"no",6,4,14.2,6,4,13.25,0.155,0.028,-0.0406,"Dropout"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",111,"Portuguese","Secondary education and above","Secondary education and above",108.2,"yes","no","no","Female","no",20,"no",7,6,13.2666666666667,7,5,12.3,0.124,0.005,0.0179,"Dropout"
"single","General contingent","not 2nd choice","Basic Education","daytime","qualified",133.1,"Portuguese","Basic education","Secondary education and above",107,"yes","no","no","Female","no",20,"no",7,6,11.6666666666667,7,3,13,0.162,0.003,-0.0092,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",142,"Portuguese","Basic education","Basic education",136.1,"yes","no","no","Female","no",18,"no",6,6,13.8571428571429,6,6,15,0.139,-0.003,0.0079,"Graduate"
"single","General contingent","not 2nd choice","Management","daytime","qualified",123,"Portuguese","Secondary education and above","Basic education",115.3,"yes","no","no","Female","yes",18,"no",5,3,13,5,3,11,0.089,0.014,0.0351,"Enrolled"
"single","General contingent","2nd choice","Veterinary Nursing","daytime","qualified",131,"Portuguese","Basic education","Basic education",139.8,"yes","no","no","Female","no",19,"no",5,5,13.4,5,5,12.8,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Journalism and Communication","daytime","qualified",158,"Portuguese","Secondary education and above","Basic education",157,"yes","no","no","Female","no",18,"no",6,6,12.6666666666667,6,6,12.5714285714286,0.108,0.014,0.0174,"Graduate"
"single","General contingent","not 2nd choice","Nursing","daytime","qualified",122,"Portuguese","Basic education","Basic education",131,"yes","no","no","Female","no",18,"no",7,6,12.5166666666667,7,6,12.5166666666667,0.076,0.026,0.0032,"Dropout"
"single","Other","2nd choice","Nursing","daytime","qualified",130,"Portuguese","Basic education","Basic education",100,"no","no","no","Female","no",20,"no",7,6,11.6166666666667,7,7,13,0.139,-0.003,0.0079,"Enrolled"
"single","General contingent","2nd choice","Social Service","daytime","qualified",154,"Portuguese","Basic education","Basic education",140.4,"yes","no","no","Female","yes",20,"no",6,2,10,6,4,10.75,0.076,0.026,0.0032,"Enrolled"
"single","General contingent","2nd choice","Management","daytime","qualified",120,"Portuguese","Basic education","Basic education",113.4,"no","no","no","Female","no",20,"no",5,3,10.3333333333333,5,3,10.6666666666667,0.124,0.005,0.0179,"Enrolled"
"single","General contingent","not 2nd choice","Veterinary Nursing","daytime","qualified",140,"Portuguese","Basic education","Basic education",137,"no","no","no","Female","no",18,"no",5,5,13.1428571428571,5,5,11.4,0.094,-0.008,-0.0312,"Graduate"
"single","General contingent","2nd choice","Management","daytime","qualified",127,"Portuguese","Secondary education and above","Basic education",121.8,"no","no","no","Female","no",18,"no",5,5,12.6,5,5,14,0.111,0.006,0.0202,"Graduate"
"single","General contingent","2nd choice","Tourism","daytime","qualified",133.1,"Portuguese","Secondary education and above","Secondary education and above",131,"yes","no","no","Female","no",21,"no",6,3,11,6,2,11,0.094,-0.008,-0.0312,"Dropout"
"single","General contingent","not 2nd choice","Management","daytime","qualified",120,"Portuguese","Basic education","Basic education",118.6,"yes","no","no","Female","no",19,"no",5,5,10.8,5,4,11.25,0.162,0.003,-0.0092,"Graduate"
"single","General contingent","2nd choice","Animation and Multimedia Design","daytime","qualified",137,"Portuguese","Secondary education and above","Basic education",122.3,"no","no","no","Female","no",19,"no",0,0,0,0,0,0,0.108,0.014,0.0174,"Dropout"
